name,county,coordinates,esti. pop.,nearest node one,nearest node 2,nearest node 3,distance 1,distance 2,distance 3
Bus Stop #50773/28-San Leandro Bart,Alameda,"(37.695409, -122.077991)",916,"(37.693297, -122.066176)","(37.678241, -122.09081)","(37.694429, -122.051597)",1153.9024262163412,3484.476375444564,2521.3072717323857
Logitech,Alameda,"(37.552155, -122.063208)",1501,"(37.411732, -122.014626)","(37.656344, -122.071653)","(37.581319, -122.017075)",11127.666949532397,14719.779910573981,6185.732106172024
SpeeDee Oil Change and Tune-Up,Alameda,"(37.708072, -121.924819)",1875,"(37.692118, -121.927759)","(37.698831, -121.917708)","(37.695814, -121.932341)",3125.535838573263,4669.085276871988,3029.4612612720002
Envie Interactive,Alameda,"(37.411732, -122.014626)",1185,"(37.552155, -122.063208)","(37.656344, -122.071653)","(37.581319, -122.017075)",11136.172949532394,23467.94340747678,14181.03660307482
California Express Motors,Alameda,"(37.656344, -122.071653)",1725,"(37.654885, -122.055788)","(37.670639, -122.087372)","(37.678241, -122.09081)",2291.632957719718,2393.6984862198824,3317.034262724525
University Union,Alameda,"(37.654885, -122.055788)",1977,"(37.656344, -122.071653)","(37.670639, -122.087372)","(37.678241, -122.09081)",2271.0289577197173,3814.764030346511,4738.099806851153
Speedee Oil Change & Tune Up,Alameda,"(37.693297, -122.066176)",1816,"(37.695409, -122.077991)","(37.670639, -122.087372)","(37.694429, -122.051597)",1166.3457333745885,3785.6867383560634,1524.4382936817562
Men's Wearhouse,Alameda,"(37.692118, -121.927759)",902,"(37.708072, -121.924819)","(37.698831, -121.917708)","(37.695814, -121.932341)",2975.131495990317,2889.9071599520694,629.8023691317567
Up 2 Speed Sports Therapy,Alameda,"(37.698831, -121.917708)",2411,"(37.692118, -121.927759)","(37.695814, -121.932341)","(37.698278, -121.919474)",2880.4381599520702,3510.2388074304818,132.4306760961178
SafeAmerica Credit Union,Alameda,"(37.695814, -121.932341)",815,"(37.708072, -121.924819)","(37.692118, -121.927759)","(37.698831, -121.917708)",2854.084918689054,629.8023691317568,3519.707807430481
Red Apple Pizza,Alameda,"(37.696829, -122.139635)",884,"(37.695409, -122.077991)","(37.670639, -122.087372)","(37.678241, -122.09081)",6599.106043917278,6532.141048898752,5707.308825403393
My Union City Plumber Hero,Alameda,"(37.581319, -122.017075)",2677,"(37.552155, -122.063208)","(37.656344, -122.071653)","(37.654885, -122.055788)",6103.227106172025,10648.618564116403,11219.09615331775
Simbol Materials,Alameda,"(37.661614, -121.903984)",2481,"(37.692118, -121.927759)","(37.698831, -121.917708)","(37.663021, -121.899895)",5981.364832148917,6560.219495227316,297.1254233339098
Tint-N-Sound,Alameda,"(37.769199, -122.238094)",1431,"(37.696829, -122.139635)","(37.678241, -122.09081)","(37.807695, -122.265135)",13416.40536715519,17994.03469868248,5792.536995909926
Design Energy Group,Alameda,"(37.698278, -121.919474)",1097,"(37.692118, -121.927759)","(37.698831, -121.917708)","(37.695814, -121.932341)",3012.868836048183,132.4306760961178,3642.6694835265944
